YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,BAND_2A_DELIVERED,BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202306,QYG,Cheshire and Merseyside ICB,1000080000,Raby Road Dental Centre,CH64 9UZ,E01018534,19145,629762.98,1576.4,0,250,510,172,36,4,23,52,4,1218,4815,629762.98
202306,QMM,Norfolk and Waveney ICB,1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel",NR19 1DR,E01026426,11500,321593.87,,,,,,,,,,,2,1604,321593.87
202306,QXU,Surrey Heartlands ICB,1000120000,Ruta Lagunaite,RH2 9BZ,E01030623,5009,153610.54,480.4,0,0,108,37,17,0,13,17,0,453,900,153610.54
202306,QJG,Suffolk and North East Essex ICB,1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia",CO15 3BW,E01021968,15000,480848.93,,,,,,,,,,,24,660,480848.93
202306,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead",BS20 6EH,E01032681,1359,40912.13,108,0,0,40,17,3,0,0,0,3,304,88,40912.13
202306,QSL,Somerset ICB,1000320000,Mr RK Hughes,BA5 1SU,E01029081,850,20478.62,74.6,0,0,42,8,1,0,0,3,0,418,65,20478.62
202306,QNC,Staffordshire and Stoke-on-Trent ICB,1000340000,Whitecross Dental Care Limited,WS15 2BZ,E01029404,16000,457227.22,571.6,0,0,128,84,15,0,6,33,5,574,2077,457227.22
202306,QUE,Cambridgeshire and Peterborough ICB,1000360000,Church Street Dental Practice,PE28 3EG,E01018198,4029,115877.84,273,0,0,146,10,5,0,5,10,0,389,1173,115877.84
202306,QM7,Hertfordshire and West Essex ICB,1000390000,Damira Dental Studios Ltd,CM23 3AL,E01023446,10255,299778.82,1086.8,0,0,442,104,28,2,9,49,1,1604,3065,299778.82
202306,QPM,Northamptonshire ICB,1000410000,2:30 Ltd,NN17 1RZ,E01026949,31550,1025897.33,2590.2,0,0,734,162,132,3,44,126,1,2234,6810,1025897.33
202306,QM7,Hertfordshire and West Essex ICB,1000520000,Chigwell Dental Practice,IG7 5PZ,E01021765,9244,339490.44,866.2,0,0,238,72,27,0,22,11,0,608,2382,339490.44
202306,QNX,Sussex ICB,1000610000,MISS AR PATEL,BN21 4LL,E01020935,1800,54761.66,90.2,0,0,71,6,0,0,0,1,0,502,43,54761.66
202306,QT1,Nottingham and Nottinghamshire ICB,1000620000,McDaid & McDaid,NG9 5BA,E01028096,15050,461354.38,1271,0,0,384,124,38,1,23,35,0,1494,2934,461354.38
202306,QSL,Somerset ICB,1000710000,Yarde House Partnership,TA1 1DB,E01029289,2600,74085.41,233.2,0,0,80,24,4,0,4,11,0,458,423,74085.41
202306,QT6,Cornwall and the Isles Of Scilly ICB,1000730000,Spadental South West Limited,PL12 6AF,E01018793,19116,576149.42,341.6,0,0,215,27,7,1,0,3,0,1721,892,576149.42
202306,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000790000,Rodericks Dental Limited,MK40 1NN,E01017469,25000,734264.41,1622.8,0,0,326,86,69,7,26,274,1,1590,6542,734264.41
202306,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000800000,Monika Molnar,BS25 1JF,E01014742,1200,31830.7,133.8,0,0,66,16,3,0,0,4,0,439,58,31830.7
202306,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000810000,Rodericks Dental Limited,LU1 2AL,E01015794,25000,717956.86,724.4,0,0,50,54,20,2,25,82,0,752,3147,717956.86
202306,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000820000,Rodericks Dental Limited,LU3 2NJ,E01015785,14000,409290.9,1131.6,0,0,197,192,30,1,12,48,0,1256,2305,409290.9
202306,QT6,Cornwall and the Isles Of Scilly ICB,1000830000,PCH Dental CIC,TR18 3PE,E01018997,10946,346400.22,202,0,0,74,15,7,0,3,10,0,294,1102,346400.22
202306,QHL,Birmingham and Solihull ICB,1000850000,Broadway Dental Suite,B18 7BA,E01009141,11239,406584,1072.2,0,0,129,67,36,3,42,31,0,610,2345,406584
202306,QRL,Hampshire and Isle Of Wight ICB,1000890000,Hilsea Dental Care Ltd,PO2 9HE,E01017087,17002,437776.28,465.2,9,0,87,68,14,1,6,38,0,778,2395,437776.28
202306,QYG,Cheshire and Merseyside ICB,1000960000,Care (Lancashire) Ltd,L20 3EF,E01007009,24000,720697.85,358.4,0,0,0,19,39,14,0,7,0,346,731,720697.85
202306,QT1,Nottingham and Nottinghamshire ICB,1001010000,Brookview Dental Care,LE12 6JG,E01028387,1000,33840.72,68.4,0,0,38,6,2,0,0,2,0,201,175,33840.72
202306,QT1,Nottingham and Nottinghamshire ICB,1001030000,"Dr H S Thiara, Mrs R K Mattu",NG5 7ED,E01028209,7997,315146.42,966,0,0,188,96,51,0,16,35,1,400,1900,315146.42
202306,QOQ,Humber and North Yorkshire ICB,1001050000,Dental Logic Limited,HU10 7AA,E01013117,8624,240159.58,802,0,0,325,116,9,0,4,25,6,731,2884,240159.58
202306,QT1,Nottingham and Nottinghamshire ICB,1001090000,Whitecross Dental Care Limited,LE12 6PG,E01028389,20000,576516.91,1346.2,0,0,619,113,22,4,14,61,3,1943,4704,576516.91
202306,QWO,West Yorkshire ICB,1001110000,Bodental Practice,BD23 1RU,E01027581,670,19105.27,93.8,0,0,41,7,3,0,1,4,0,359,31,19105.27
202306,QYG,Cheshire and Merseyside ICB,1001220000,The Old Surgery Dental Practice Ltd,CW1 5EQ,E01018501,3300,202638.39,177,0,0,14,51,2,0,0,0,0,,355,202638.39
202306,QMM,Norfolk and Waveney ICB,1001280000,Rookwood Dental Practice,NR17 2BN,E01026449,3939,116518.17,279.4,0,0,119,30,4,0,4,2,0,498,1000,116518.17
202306,QOP,Greater Manchester ICB,1001340000,REVIVE DENTAL CARE LIMITED,M4 6EE,E01033663,5509,372586.75,311.4,0,0,50,39,8,0,6,27,0,163,853,372586.75
202306,QOQ,Humber and North Yorkshire ICB,1001350000,MR N TIBREWAL,HG4 1QW,E01027707,16464,533258.29,1429.4,0,0,446,121,57,2,19,77,2,1008,3872,533258.29
202306,QNQ,Frimley ICB,1001360000,MR JS KAILA,GU15 2HT,E01030800,11191,333134.23,933,0,59.4,273,76,22,4,21,35,0,345,2441,333134.23
202306,QWU,Coventry and Warwickshire ICB,1001380000,Longfellow Road Partnership,CV2 5HB,E01009614,49397,1366127.43,3655.6,0,0,1102,302,124,5,61,213,5,3599,13057,1366127.43
202306,QJ2,Derby and Derbyshire ICB,1001500000,Brimington Dental Practice,S43 1AD,E01019534,19709,618925.38,2066.2,0,0,616,316,43,1,20,31,0,1354,4956,618925.38
202306,QUA,Black Country ICB,1001620000,Jandu Dental Surgery,DY8 1EJ,E01009856,7200,178239.97,91.6,0,0,19,5,6,0,2,3,0,119,501,178239.97
202306,QUA,Black Country ICB,1001640000,Princes End Dental Practice,DY4 0UB,E01010033,4890,137443.29,452.2,0,0,70,31,21,1,14,6,2,795,673,137443.29
202306,QHL,Birmingham and Solihull ICB,1001650000,Family Dental Centre Partnership,B44 8LD,E01009230,17884,580002.36,1527.8,0,0,543,136,31,1,27,74,2,1520,4511,580002.36
202306,QNX,Sussex ICB,1001670000,ABC Dental Surgery Ltd,BN2 3LD,E01016890,13371,391652.76,999,0,0,129,95,28,1,31,55,3,776,1827,391652.76
202306,QHM,North East and North Cumbria ICB,1001720000,No.1 Victoria Terrace Ltd,NE15 9EL,E01008405,5140,131551.17,468.6,0,0,89,60,20,0,7,3,1,315,864,131551.17
202306,QHL,Birmingham and Solihull ICB,1001730000,Hilltop Dental Spa,B31 2QT,E01009206,23164,730147.52,2002.2,0,0,546,164,56,7,43,96,4,1679,5873,730147.52
202306,QMF,North East London ICB,1001750000,Nilesh Patel,E20 1BX,E01033583,18000,523580.33,859.2,0,0,248,53,19,2,11,176,1,1563,3614,523580.33
202306,QUA,Black Country ICB,1001760000,Mr S Merali,B64 7HU,E01009956,1700,45510.69,176.2,0,0,52,26,3,0,2,6,0,281,154,45510.69
202306,QJ2,Derby and Derbyshire ICB,1001800000,Chaddesden Dental Practice,DE21 6PE,E01013507,21628,638754.95,1171.6,0,0,375,142,33,1,11,53,3,964,4105,638754.95
202306,QJ2,Derby and Derbyshire ICB,1001910000,Nationwide Healthcare - Normanton Road Family Dental Centre,DE23 6WD,E01013484,1,1.17,1.2,0,0,0,0,0,0,0,1,0,,11,1.17
202306,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1001940000,Chalfont St Peter Partnership,SL9 9AL,E01017755,1600,47341.48,139.4,0,0,81,12,4,0,0,2,0,462,209,47341.48
202306,QJ2,Derby and Derbyshire ICB,1001950000,TASK B LTD - T/A Dental Perfection,DE23 3TX,E01013541,10900,278745,692.8,0,0,380,43,7,0,11,14,0,906,2603,278745
202306,QT1,Nottingham and Nottinghamshire ICB,1001960000,Impressions Dental Care (Nottingham) Limited,NG16 2NH,E01028102,1354,37493.04,85.4,0,0,46,9,2,0,0,2,0,202,263,37493.04
202306,QT1,Nottingham and Nottinghamshire ICB,1002050000,Family Medical Centre (Green//Hanji),NG3 2FW,E01013954,26057,808798.65,1414.4,0,0,363,139,34,0,27,117,0,1870,6199,808798.65
202306,QE1,Lancashire and South Cumbria ICB,1002060000,Genix Healthcare Ltd,LA4 6ND,E01025164,19500,540521.55,1461.6,0,0,465,158,44,5,18,43,1,1884,3676,540521.55
202306,QMF,North East London ICB,1002070000,Preventdent Limited,E3 5ED,E01004226,20367,811585.49,1482.2,0,0,468,140,25,0,33,61,0,3008,3661,811585.49
202306,QT1,Nottingham and Nottinghamshire ICB,1002110000,Rivergreen Dental Practice,NG11 8AD,E01013897,14929,445002.98,1260.2,0,0,229,195,42,1,15,31,1,832,3172,445002.98
202306,QJM,Lincolnshire ICB,1002190000,Community Dental Services CIC,PE25 2BX,E01026093,3000,1369065.6,422.8,0,0,126,42,9,1,4,4,0,352,1100,1369065.6
