YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,BAND_2A_DELIVERED,BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202304,QYG,Cheshire and Merseyside ICB,1000080000,Raby Road Dental Centre,CH64 9UZ,E01018534,19145,629762.98,1238.8,0,323.6,559,130,7,3,13,49,5,1233,4775,629762.98
202304,QMM,Norfolk and Waveney ICB,1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel",NR19 1DR,E01026426,11500,321593.87,,,,,,,,,,,15,1756,321593.87
202304,QXU,Surrey Heartlands ICB,1000120000,Ruta Lagunaite,RH2 9BZ,E01030623,5009,153610.54,311.2,0,0,119,26,7,0,5,16,0,436,879,153610.54
202304,QJG,Suffolk and North East Essex ICB,1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia",CO15 3BW,E01021968,15000,480848.93,,,,,,,,,,,39,825,480848.93
202304,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead",BS20 6EH,E01032681,1359,40912.13,105.4,0,0,47,12,4,0,0,2,1,302,88,40912.13
202304,QSL,Somerset ICB,1000320000,Mr RK Hughes,BA5 1SU,E01029081,850,20478.62,94.6,0,0,73,6,0,0,0,3,0,417,85,20478.62
202304,QNC,Staffordshire and Stoke-on-Trent ICB,1000340000,Whitecross Dental Care Limited,WS15 2BZ,E01029404,16000,457227.22,512.6,1,0,146,61,18,0,5,28,5,651,2173,457227.22
202304,QUE,Cambridgeshire and Peterborough ICB,1000360000,Church Street Dental Practice,PE28 3EG,E01018198,4029,115877.84,202.8,0,0,97,11,1,3,3,9,0,398,1187,115877.84
202304,QM7,Hertfordshire and West Essex ICB,1000390000,Damira Dental Studios Ltd,CM23 3AL,E01023446,10255,299778.82,1046.2,0,0,432,91,28,1,12,41,1,1505,3012,299778.82
202304,QPM,Northamptonshire ICB,1000410000,2:30 Ltd,NN17 1RZ,E01026949,31550,1025897.33,1873.4,1,0,569,101,85,0,39,77,2,2166,6829,1025897.33
202304,QM7,Hertfordshire and West Essex ICB,1000520000,Chigwell Dental Practice,IG7 5PZ,E01021765,9244,339490.44,547.4,0,0,182,59,18,0,8,2,0,605,2379,339490.44
202304,QNX,Sussex ICB,1000610000,MISS AR PATEL,BN21 4LL,E01020935,1800,54761.66,152.2,0,0,103,12,0,0,1,1,0,503,41,54761.66
202304,QT1,Nottingham and Nottinghamshire ICB,1000620000,McDaid & McDaid,NG9 5BA,E01028096,15050,461354.38,786.2,0,0,316,58,13,0,15,41,4,1475,2916,461354.38
202304,QSL,Somerset ICB,1000710000,Yarde House Partnership,TA1 1DB,E01029289,2600,74085.41,165.4,0,0,74,18,1,0,2,7,0,446,417,74085.41
202304,QT6,Cornwall and the Isles Of Scilly ICB,1000730000,Spadental South West Limited,PL12 6AF,E01018793,19116,576149.42,255.2,0,0,157,29,2,0,0,1,0,1534,1315,576149.42
202304,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000790000,Rodericks Dental Limited,MK40 1NN,E01017469,25000,734264.41,1654,0,0,287,70,69,8,29,310,1,1642,6600,734264.41
202304,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000800000,Monika Molnar,BS25 1JF,E01014742,1200,31830.7,104.6,0,0,73,6,2,0,0,3,0,435,54,31830.7
202304,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000810000,Rodericks Dental Limited,LU1 2AL,E01015794,25000,717956.86,850.8,0,0,85,106,19,3,12,154,0,800,3277,717956.86
202304,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000820000,Rodericks Dental Limited,LU3 2NJ,E01015785,14000,409290.9,1722.6,0,0,305,290,32,3,22,83,0,1219,2231,409290.9
202304,QT6,Cornwall and the Isles Of Scilly ICB,1000830000,PCH Dental CIC,TR18 3PE,E01018997,10946,346400.22,321.2,0,0,132,31,4,0,3,26,0,286,1105,346400.22
202304,QHL,Birmingham and Solihull ICB,1000850000,Broadway Dental Suite,B18 7BA,E01009141,11239,406584,743.8,0,0,81,56,39,1,22,24,0,598,2295,406584
202304,QRL,Hampshire and Isle Of Wight ICB,1000890000,Hilsea Dental Care Ltd,PO2 9HE,E01017087,17002,437776.28,310.6,0,0,33,33,5,0,8,38,0,863,2524,437776.28
202304,QYG,Cheshire and Merseyside ICB,1000960000,Care (Lancashire) Ltd,L20 3EF,E01007009,24000,720697.85,224.8,0,0,0,33,23,0,0,9,0,372,815,720697.85
202304,QT1,Nottingham and Nottinghamshire ICB,1001010000,Brookview Dental Care,LE12 6JG,E01028387,1000,33840.72,93.6,0,0,47,6,5,0,0,3,0,200,175,33840.72
