YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,BAND_2A_DELIVERED ,BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202310,QYG,Cheshire and Merseyside ICB,1000080000,Raby Road Dental Centre,CH64 9UZ,E01018534,19145,662069.82,2397.4,0,64.6,561,213,110,7,44,57,2,1262,4992,662069.82
202310,QMM,Norfolk and Waveney ICB,1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel",NR19 1DR,E01026426,11500,338091.64,,,,,,,,,,,,1013,338091.64
202310,QXU,Surrey Heartlands ICB,1000120000,Ruta Lagunaite,RH2 9BZ,E01030623,5009,161490.76,547.6,0,0,131,43,30,2,9,13,0,482,927,161490.76
202310,QJG,Suffolk and North East Essex ICB,1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia",CO15 3BW,E01021968,15000,480848.93,,,,,,,,,,,,222,480848.93
202310,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead",BS20 6EH,E01032681,1359,43010.92,145.2,0,0,39,16,9,0,1,1,1,322,82,43010.92
202310,QSL,Somerset ICB,1000320000,Mr RK Hughes,BA5 1SU,E01029081,850,21529.17,72.4,0,0,52,5,0,0,0,2,0,409,68,21529.17
202310,QNC,Staffordshire and Stoke-on-Trent ICB,1000340000,Whitecross Dental Care Limited,WS15 2BZ,E01029404,16000,480682.98,319.4,0,0,65,40,9,0,5,22,3,531,1924,480682.98
202310,QUE,Cambridgeshire and Peterborough ICB,1000360000,Church Street Dental Practice,PE28 3EG,E01018198,4029,121822.37,369,0,0,138,21,4,4,9,10,0,390,1143,121822.37
202310,QM7,Hertfordshire and West Essex ICB,1000390000,Damira Dental Studios Ltd,CM23 3AL,E01023446,10255,315157.47,957.8,1,0,450,75,24,1,9,44,0,1728,3128,315157.47
202310,QPM,Northamptonshire ICB,1000410000,2:30 Ltd,NN17 1RZ,E01026949,34466,1170342.52,2330.2,0,0,754,133,115,0,35,141,2,2564,6732,1078525.86
202310,QM7,Hertfordshire and West Essex ICB,1000520000,Chigwell Dental Practice,IG7 5PZ,E01021765,9244,356906.3,889.6,0,0,222,61,53,0,17,13,0,628,2412,356906.3
202310,QNX,Sussex ICB,1000610000,MISS AR PATEL,BN21 4LL,E01020935,1800,57570.93,120.2,0,0,104,5,0,0,0,1,0,499,40,57570.93
